Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
255	9	Mi5	E5	336	336	3	16	625	95	96		32.437500
256	9	Re5	D5	327	327	1	16	208	95	96		32.500000
257	9	Do5	C5	318	318	3	16	625	95	96		32.687500
258	9	Si4b2	B4b1	312	313	1	16	208	95	96		32.750000
259	9	Re5	D5	327	327	1	16	208	95	96		32.812500
260	9	Si4b2	B4b1	312	313	1	16	208	95	96		32.875000
261	9	Si4b2	B4b1	312	313	1	16	208	95	96		32.937500
262	11	La4	A4	305	305	1	16	208	95	96		33.000000
263	9	La4	A4	305	305	3	8	1250	95	96		33.375000
264	53			0	0	0	0	0	0	0		33.375000
265	9	Sol4	G4	296	296	1	8	417	95	96		33.500000
266	9	Mi5	E5	336	336	3	16	625	95	96		33.687500
267	9	Re5	D5	327	327	1	16	208	95	96		33.750000
268	9	Do5#4	C5#4	322	322	1	16	208	95	96		33.812500
269	9	Re5	D5	327	327	1	16	208	95	96		33.875000
270	9	Mi5	E5	336	336	1	16	208	95	96		33.937500
271	9	Fa5	F5	340	340	1	16	208	95	96		34.000000
272	9	Re5	D5	327	327	1	4	833	95	96		34.250000
273	9	Mi5	E5	336	336	1	4	833	95	96		34.500000
274	53			0	0	0	0	0	0	0		34.500000
275	9	Mi5	E5	336	336	1	8	417	95	96		34.625000
276	9	Fa5	F5	340	340	1	8	417	95	96		34.750000
277	9	Mi5	E5	336	336	1	8	417	95	96		34.875000
278	9	Re5	D5	327	327	1	8	417	95	96		35.000000
279	9	Es	Es	-1	-1	1	8	417	100	0		35.125000
280	9	Sol5	G5	349	349	1	8	417	95	96		35.250000
281	9	Fa5	F5	340	340	1	8	417	95	96		35.375000
282	9	Mi5	E5	336	336	1	8	417	95	96		35.500000
283	9	Mi5	E5	336	336	1	16	208	95	96		35.562500
284	9	Re5	D5	327	327	1	16	208	95	96		35.625000
285	9	Re5	D5	327	327	1	16	208	95	96		35.687500
286	9	Do5#4	C5#4	322	322	1	16	208	95	96		35.750000
287	9	Re5	D5	327	327	1	4	833	100	96		36.000000
288	9	Re5	D5	327	327	1	4	833	95	96		36.250000
289	53			0	0	0	0	0	0	0		36.250000
290	9	Mi5	E5	336	336	1	8	417	95	96		36.375000
291	9	Fa5#3	F5#4	343	344	1	8	417	95	96		36.500000
292	9	Sol5	G5	349	349	1	8	417	95	96		36.625000
293	9	La5	A5	358	358	1	8	417	95	96		36.750000
294	9	Sol5	G5	349	349	1	8	417	95	96		36.875000
295	9	Fa5#2	F5#1	342	341	1	8	417	95	96		37.000000
296	9	Sol5	G5	349	349	1	8	417	95	96		37.125000
297	9	Fa5#3	F5#4	343	344	1	8	417	95	96		37.250000
298	9	Sol5	G5	349	349	1	8	417	95	96		37.375000
299	9	La5	A5	358	358	1	16	208	95	96		37.437500
300	9	Do6	C6	371	371	1	16	208	95	96		37.500000
301	9	Si5b2	B5b1	365	366	1	16	208	95	96		37.562500
302	9	La5	A5	358	358	1	16	208	95	96		37.625000
303	9	Sol5	G5	349	349	1	16	208	95	96		37.687500
304	9	Fa5#3	F5#4	343	344	1	16	208	95	96		37.750000
305	9	Mi5	E5	336	336	1	4	833	95	96		38.000000
306	53			0	0	0	0	0	0	0		38.000000
307	9	Es	Es	-1	-1	1	8	417	100	0		38.125000
308	9	Do6	C6	371	371	1	4	833	95	96		38.375000
309	9	Do6	C6	371	371	1	16	208	95	96		38.437500
310	9	Si5b2	B5b1	365	366	1	16	208	95	96		38.500000
311	9	Si5b2	B5b1	365	366	3	16	625	95	96		38.687500
312	9	La5	A5	358	358	1	16	208	95	96		38.750000
313	9	La5	A5	358	358	3	16	625	95	96		38.937500
